,title,review,stars,verified,helpful,date,amazon_id,id
20,EMF-Sensitive People: YOU NEED THIS!!,"I am EMF-sensitive to the point where I cannot breathe around devices or large appliances. My computer is a huge source of problems for me and I cannot use a cellphone at all. I have a Mac Mini desktop computer. I put my Mac Mini in this box and when I closed the lid, I felt immediate relief... the air changed from ""thick"" and ""smoky"" to thin and breathable... I'm using long cords to place the computer 50 feet away from my desk, but even while it's currently 3 feet from me I feel relief!",5,1,3,2020-12-02,B0814BYHV6,20
21,I wish I had thought of this scam first!,I'm struggling to understand why people are so dumb!,1,0,5,2020-06-08,B0814BYHV6,21
22,Wire Basket,This is a wire basket. This basket is designed to have people spend money on a wire basket. It does a great job.,5,0,4,2020-12-04,B0814BYHV6,22
23,I can<U+0092>t fit in the box. Terrible design.,This blocks 95% of the WiFi signal so to get a signal I have to stand inside the metal box. The problem is that I am over 6 feet tall and I cannot fit inside the box. Please make a larger one that is at least 6 feet tall so I can use my WiFi.,1,0,4,2020-12-04,B0814BYHV6,23
24,People are dumb<U+0085>,"Absolutely DYING at all of these paranoid weirdos.

You're better off living in the middle of absolutely nowhere if you want to avoid radio frequencies. Cellular signals are everywhere. Radio frequency itself is everywhere! It's not hurting you, it's so low powered it could never hurt you or your pets. Science is real, maybe do some studying from time to time.

The product does exactly what it says and nothing more. It's metal. It blocks radio from your router, making your router work harder for nothing. Stop being an idiot.",5,0,2,2020-12-04,B0814BYHV6,24
25,Kills signal strength from the router<U+0085>,"Devices that were previously located about 30-40<U+0092> from the router that used to have full signal strength, don<U+0092>t even connect to it anymore... I had to remove the cage from the router and now the return window has closed so I<U+0092>m stuck with this useless $100+ metal cage now... Will try and sell it on Craigslist.",1,0,0,2020-10-18,B0814BYHV6,25
26,Signal impacted,Wifi signal is reduced significantly,1,0,0,2020-07-24,B0814BYHV6,26
27,Works with slight modification,I bought an RF meter to check if it blocked the signal but it barely did anything. Did a little research though and found out that grounding it should work. So I went to home depot got some regular 20 gauge wire attached one side to the screw on the shield and the other side to a piece of conduit that goes into the ground and the RF meter reading dropped to almost nothing.,4,1,371,2016-12-08,B00OVJCPS6,27
28,"Works, needs grounding wire and product label. Overpriced.","This does work. It is made well. However, It is way overpriced. Be sure to get a grounding wire or a wire with clip ends to ground this out to your metal meter box. It should come with one. It should also come with a receipt and proper documentation. It would also be nice to have a brand name or label on it so the power company knows what it is and they do not remove it. These are cheap to make and I do not agree with charging this much to help people be safe. We need to help one another. Half of the price would be much more fair. While I agree there is no price for safety, that does not mean one should over capitalize on that.",3,1,276,2016-07-26,B00OVJCPS6,28
29,"
blocked electric company signal to bill me $$$$",So the electric company came out due to a drastic reduction in my electric bill. The company just ripped it off the meter and took it with them. Apparently it was blocking their ability to give me a correct bill.,1,1,68,2019-08-14,B00OVJCPS6,29
30,It worked for us,"We've had this installed for a little over a year. My daughter was experiencing painful headaches and just an overall tension in her room completely unexplained. She researched the smart meter outside her room and came across this. We bought it immediately, installed it right away. All headaches gone, tension gone, baby sleeps better. EMF causes headaches, triggers migraines and instills tension in the air. All this is gone. The price is worth it.",5,1,80,2018-08-19,B00OVJCPS6,30
31,Works great! Instantly felt relief. Don't believe the trolls that have left negative reviews.,"After our neighborhood had ""smart"" (i.e. dumb) meters forcibly installed about 9 months ago, our entire household has suffered horrible insomnia, irritability, ringing in the ears, body aches, nausea, and the a bunch of other typical symptoms. These meters are truly an atrocious crime against humanity, but most the world realizes this is how corporations operate now. I was skeptical that this could do anything, but after suffering for so long, I was willing to try anything. The moment I slipped the guard over the meter, I could instantly feel a quiet that I have not felt since the meter was installed. While I do not own a meter to actually measure, other family members noticed how light and happy the environment felt all of a sudden. Only after did I tell them I had installed the guard. It was as if a quiet scream had been playing on repeat since the meter was installed, and once that shield went over, the hell finally ended. There was a tranquility in our environment that had not been there in so long. Immediately, my nausea went away, as did the irritability. After a few days, my sleep finally improved drastically. The ringing in the ears is gone. I can still feel these symptoms when walking in my neighborhood where everyone else has the meter in full force. While I can't prove it works, I KNOW it works. The negative reviews about this product seem to be a purposeful assault on the seller because this obviously works. I commend the seller for calling out those that leave bad reviews without facts or knowledge to back it up. Furthermore, I am so grateful that this product exists. I have my sanity back. It is only after feeling what ""normal"" feels like that you realize how twisted our utility and communication companies have become. They do not care about people, nor their health. This allows you to take back your rights without all of the intimidation and red tape the utility companies and their contractors will use on you if you want a ""non-standard analogue meter"". I feel you have to live in an area where houses are not too close together to feel these effects, as the range is so intense that houses piled close together are likely still flooded in the RF waves. But if you have some space between your house and your neighbors, I could not recommend this more highly. The product is top-notch quality. When you see the attention to detail and how it is fitted perfectly for the meter, the reviews on here that talk about doing it yourself with cheap mesh wire are beyond laughable. The concept of a Faraday Cage is one of precision, and that is precisely what you get. To have something like this fabricated on your own would cost hundreds if not thousands of dollars. Worth every penny. Thank you to the folks that invented this. Fast shipping. Easy installation, even with my box being the 8% of boxes that require the rubber spacer (included) to properly fit.",5,1,205,2017-10-24,B00OVJCPS6,31
32,Will reduce your emf to almost nothing.,Great product. Cut the EMF from my smart meter to almost nothing. If you have a smart meter it is pulsing ever 14 second putting high levels of EMF into your home. I bought 3 for me and my adult children. Very happy.,5,1,43,2018-09-14,B00OVJCPS6,32
33,"crazy thing to buy, very expensive","I felt a little nutty buying this thing, but it's like a Faraday cage for the semi-smart meter the electric co insisted on putting on my house right near my bedroom. I could not get them to replace it with an analog meter. They said it's not fully smart, but I think they are lying. So I spent $ to buy this cage, and I stuck it onto the meter. I keep getting my bills, so the meter is working. This does not interfere with the co's ability to read the smart meter! I wish it did! So I don't know if it works, but it was something for me to do, so I did it just in case it helps keep the radiation down. Who knows?",4,1,32,2018-12-26,B00OVJCPS6,33
34,I sleep with a smart meter just a few feet from my head,"UPDATE: I changed rating to 5 stars. After reading comments I believe I'll try grounding it. I'm still happy with my purchase. The rest of my review is still untouched.

I almost gave this 5 stars... I sleep with a smart meter just a few feet from my head. I got an RF meter and measured spikes at 4.1 - 4.6 on my pillow. After installing this thing, I'm getting spikes at 0.6 - 0.8. So while I'm pleased to have drastically reduced the RF hitting my head at night, it was not the 98% reduction as claimed. If it had reduced it by 98% I would have been ecstatic to give 5 stars.",5,1,100,2017-01-31,B00OVJCPS6,34
35,Ive gotten 2 hours of extra sleep every night since ...,Ive gotten 2 hours of extra sleep every night since I installed. Plus the electric company cant get inside my head anymore. Amazing,5,1,52,2017-07-21,B00OVJCPS6,35
36,"Don't get a S,mart Meter without one!!!","So, what was driving me crazy for 5 years without me having a clue? How about my Smart Meter! It took me 5 years to figure out what was wrong with me! I Couldn't sleep, tinnitus, constant irritability, constipation, joint pain, headaches, you name it!!! I attributed everything to old age! Then I started researching Smart Meters and discovered the horrors the Electric Company won't tell you. In short I discovered the Smart Meter Guard. It took all of ten minutes to install! Using an RF Meter before and after there was a world of difference as in Night and day. That very night, I had one of the best night sleeps in years, about a month later, I started feeling my strength coming back, headaches were gone, tinnitus went away and my blood pressure even went down. Maybe a lot of my symptoms were psychosomatic, I'll never know, but All I can say is the RF Frequencies on my top floor and in my bedrooms are now non-existent!!! I'm thanking the people who created this great item. They may have added only God knows how many extra years to my life!!! Thanks again!!!",5,1,12,2019-09-13,B00OVJCPS6,36
37,Great products- works,"I'm an occ health nurse- recently became aware of the smart meter roll out program and negative health effects - my husband and I were both experiencing symptoms - headaches, heart palps, nausea, irritability, insomnia. this is a silent danger hurting millions with them not even knowing and needs to be exposed. Make your voices heard- call your state representatives and make them aware and your voices heard- at the very least, push for an Opt Out Program.",5,1,16,2019-03-28,B00OVJCPS6,37
38,Makes my thyroid happy,"I am not an electrician. I did oodles of research but instead choose this product. Yes, it is pricey. But also it is very easy to use.

I don<U+0092>t have a meter to submit objective evidence of how the levels dropped. However, once the smart meter was installed, my need for thyroid medication tripled. Once I put this over the meter, my need for thyroid medication dropped back to pre-smart meter amounts. While anecdotal, this is enough for me to recommend it to my family and friends.",5,1,12,2019-03-26,B00OVJCPS6,38
39,Versitile Device!,"I used mine for a hat, using NOTHING BUT Amazon Products!

First, of course, was the Idiot Hat:
https://smile.amazon.com/Smart-Meter-Guard-Radiation-Shield/dp/B00OVJCPS6/ref=sr_1_3?keywords=smart+meter+guard&qid=1583699813&sr=8-3

Then there is the Antenna:
https://smile.amazon.com/rockcloud-Titanium-Decoration-Gemstone-Specimen/dp/B01G3EEE2G/ref=sr_1_7?keywords=rainbow+quartz+crystal+energy&qid=1583682795&sr=8-7

Add the Chakra simulator:
https://smile.amazon.com/TeemorShop-Crystal-Jewelled-Exercise-Six-Toys/dp/B07XYZ1YVR/ref=sr_1_13?keywords=jeweled%2Bbutt%2Bplug&qid=1583683389&sr=8-13&th=1

And then the four Energy bracelets for wrists and ankles:
https://smile.amazon.com/Bracelet-Adjustable-Arthritis-Magnets-Effective/dp/B07JKR9FJ3/ref=sr_1_1?keywords=copper+energy+bracelet&qid=1583683550&sr=8-1

This will appeal to those of you who think your electric meter is dangerous .",5,0,31,2020-03-08,B00OVJCPS6,39
40,"It blocks the RF's just fine, however the power company is unable to read <U+0085>","It blocks the RF's just fine, however the power company is unable to read it and we have not had a bill in 2 months. We better not get a fine.",1,1,27,2018-06-14,B00OVJCPS6,40
41,Doesn't work even grounded,"The only thing this blocks is the truth it doesn't work! Fits perfect I even grounded out with 12 wire copper wire and it still doesn't work spent $380 on a meter and
Tin foil works better !",1,1,12,2019-03-01,B00OVJCPS6,41
42,Cuts a small amount of signal outside your house but not inside of course,"OK, so you install it and test before and after. Yes, it cuts a tiny bit from outside, but go inside your house and test the wall where the meter is at, and guess what....yeah no effect. Isn't that the point of the whole thing? I'm not sure I recommend it.",1,1,6,2020-03-30,B00OVJCPS6,42
43,Did not work according to my EMF reader,Bought an EMF meter reader and it did not seem to make a difference as the surrounding bog lit it up like a Christmas tree<U+0085>,1,1,8,2019-10-03,B00OVJCPS6,43
44,Did not work for us,"Good idea but failed to work for us. We installed it just as the instructions suggested, with no grounding. Well, since the first night we installed it, we stopped sleeping through the night. Before it was just occasional insomnia, after - it was insomnia every night. We do believe the cover actually prevents the meter from being able to send a signal so instead the meter keeps trying to send the signal over and over which made the issue even worse for us. My husband is VERY sensitive to any signals and always we turn off our wifi router and all electronics every night. But with this meter guard, my husband started hearing and feeling even more buzzing in his head, so when he could deal with it no more, he got up in the middle of the night, put his housecoat on and went outside to take the darn guard off meter. Afterwards, we were able to sleep again and purchased an entirely different device that would not attempt to block the EMFs but rather neutralize them. So no, i would not recommend this.",3,1,0,2020-11-22,B00OVJCPS6,44
45,Good emf cover,"It came with directions for different types of meters with directions for each of them. I put cover on, and tightened best as it can.. it was larger than the meter I have and was lose, and I have to use the extra piece that comes with it to try to tighten it around it. Gives me peace of mind. I sleep better",5,1,5,2019-04-13,B00OVJCPS6,45
46,Very necessary !,This meter guard is necessary to absolutely reduce the RF (radio frequency) being put out by the Smart (Stupid) meter. My DWP forced me to have this installed so I chose this USA made guard to protect home and family/pets from any harmful radiation. Seller support is wonderful - giving instruction with videos for mounting and then using an RF meter to see the difference in levels. It works !,5,1,2,2019-12-14,B00OVJCPS6,46
47,Made for American Household - MOST American households,"It Fits, PERFECTLY! I don't know why you would order a different brand, I did a ton of research and this is the best product for the task. All the other ones are too small. I am not sure what energy company equips homes with smaller meters. This one fits great, and is made very well. Also the installation is a breeze. The only thing I had to MODIFY was cutting a small rectangle at the bottom to make space for the lock on the meter. After that it sits flush, no gaps.",5,1,0,2020-11-20,B00OVJCPS6,47
48,Yes it works......,This thing works. The EMF coming from the meter was blocking all my garage door remotes from working and even messing with my motion light sensors . Now everything is back to working as it should. Ya I think it<U+0092>s overpriced but I paid it. And if you do your research you know that the EMF it emits is bad for your health,5,1,2,2020-01-25,B00OVJCPS6,48
49,"Works as advertised, impressive.","I've always had coffee in morning bugs free, chair is about 5 feet from the meter, No Bees, No flies, No fly insects. Second day, notice we got the bugs back. Should tell you something.",5,1,2,2020-02-06,B00OVJCPS6,49
50,We used a meter and detected a decrease in EMF,It was easy to install. We will also get a screen to place behind the meter.,5,1,3,2019-05-29,B00OVJCPS6,50
51,price is high but your family is worth it,easy to put on no rad coming ffrom the meter sleep better,5,1,2,2019-05-16,B00OVJCPS6,51
52,Arrived on time Great Customer Service,Clear instructions and for additional questions responded promptly and in detail. Easy to install no problems,5,1,1,2020-04-15,B00OVJCPS6,52
53,Life changing!,We feel so much better! Our snarmeter is on the outside of our bedroom right next to our headboard. I have not had full night of sleep since it was installed. Had no idea it was related to the meter and have tried everything to get some rest. This has solved the issue. So grateful so easy to install.,5,1,0,2020-06-26,B00OVJCPS6,53
54,Not very effective,"We live in a house with really high EMF's and I was hoping this screen would help, so we measured the EMF's before putting the screen on and after... not much of a difference at all.",3,1,13,2018-01-09,B00OVJCPS6,54
55,BLOCKS THE RADIATION,"VERY PLEASED WITH THE QUALITY AND PEACE OF MIND THAT IT WILL BLOCK THE
NASTY RADATION FROM ENTERING MY HOME.",5,1,1,2019-05-10,B00OVJCPS6,55
56,Nice looking. Easy to put on.,"Real easy to install. Wish all my neighbors would get one of these...if I were rich, I'd buy 36 of these and put them on my neighbors meters and my sons house. Our meters are on street side of house. Not attached to building.",5,1,0,2020-08-03,B00OVJCPS6,56
57,"If you don't want possibility of getting cancer, you must buy this item",Please read why I have headlined this item in this way. This is why so many people are getting tumors and brain cancer etc...<U+0085> lack of iodine in your diet too. Please buy iodine supplements for you and your blessed family.,5,1,0,2019-07-19,B00OVJCPS6,57
58,I does work from the front of the smart meter.,"It does work to block emf from in front of smart meter ,but doesn't stop emf behind the smart meter",4,1,0,2020-04-12,B00OVJCPS6,58
59,Easy install,"The product is very durable and easy to install. Instructions are provided that were written well. And, the company provides for modifications in case the smart meter is smaller than standard size, which is helpful. I haven't been able to measure but feel better knowing that it is installed.",5,1,0,2020-01-27,B00OVJCPS6,59
60,Pricey but worth it,"Very well made, fits my meter perfectly with the foam spacers that were included.",5,1,0,2020-02-11,B00OVJCPS6,60
61,"works great, sleep way better","works great,sleep way better,sinues better too!!",5,1,8,2017-09-08,B00OVJCPS6,61
62,Great product,Gives us less headaches. accurate description.,5,1,3,2017-03-27,B00OVJCPS6,62
63,Five Stars,Nice product. Installed easily.,5,1,4,2017-08-22,B00OVJCPS6,63
64,It does not work,This is the sample of a super expensive product that does not work as described and you also have to pay the shipping and they do not refund your money.,1,1,1,2020-09-15,B00OVJCPS6,64
65,Not needed,Ended up not needed it. Had my Electric company remove the smart meter and it replaced with a non smart reader.,3,1,0,2020-05-17,B00OVJCPS6,65
66,GREAT FARRADAY COVER FOR ELECTRIC METER,"Easy to install, fits perfectly./",5,1,0,2020-05-11,B00OVJCPS6,66
67,Save your money!!!,Very Cheaply Built not worth the money,1,1,13,2017-10-15,B00OVJCPS6,67
68,USA made,Very well made and the company is very approachable to answer any questions.,5,1,0,2020-07-22,B00OVJCPS6,68
69,Five stars,Easy installation excellent service but hard to tell if it's doing the job it is supposed to do.,5,1,8,2015-11-17,B00OVJCPS6,69
70,Works!,I had terrible fatigue for two days from when my smart meter was installed until this came in the mail. Good instructions and it works perfectly! I don't feel any effects from my smart meter now.,5,1,0,2019-11-22,B00OVJCPS6,70
71,Emf cover,Does not block RF,4,1,0,2020-11-11,B00OVJCPS6,71
72,Great,Perfect! Well made!,5,1,0,2020-04-27,B00OVJCPS6,72
73,"Cant tell difference, for cost?",Cant tell if it is working or not. Hope so!,5,1,0,2019-12-29,B00OVJCPS6,73
74,Good product,It is doing what it was meant to do.,5,1,0,2020-06-06,B00OVJCPS6,74
75,Must have: improved sleep,All smart meters need one,5,1,0,2019-06-17,B00OVJCPS6,75
76,I like the concept of this product,"I like the concept of this product; however, I think the price is ridiculous. People can make their own 'smart meter' guard with aluminum screening and duct tape for a fraction of the cost. Is it a good, useful product? Yes. Unfortunately, however, the manufacturer takes advantage of the 'fear' associated with these nasty things for ill-gotten gain. Be kind. Be friendly. Be willing to sell a product for a reasonable price - you can still make a decent profit doing so.",1,0,53,2017-09-17,B00OVJCPS6,76
77,feel good about it,does work,5,1,0,2019-10-08,B00OVJCPS6,77
78,This is very well made.,This is very well made and easy to install.,5,1,0,2020-07-13,B00OVJCPS6,78
79,Fast reliable delivery,Not sure if it works yet but it was super easy to install,5,1,0,2019-06-04,B00OVJCPS6,79
80,"Easy to install, seems very well built.","Order arrived pretty quickly, and I had it installed in less than ten minutes. This includes making a new ground wire with clips, as they say grounding helps even more.",5,1,0,2020-06-12,B00OVJCPS6,80
81,Does nothing<U+0085>,"Did nothing to reduce the huge magnetic field. I'll try the grounding cable suggestion if that improves anything. Otherwise, this is a scam...",1,1,30,2017-09-22,B00OVJCPS6,81
82,Sleeping and feeling better,"I need to do a reading to see if this is working, but I feel so much better",5,1,0,2020-01-21,B00OVJCPS6,82
83,Five Stars,A great product. Easy to install and does exactly what it is supposed to do.,5,1,0,2017-06-12,B00OVJCPS6,83
84,Damaged,Arrived smashed,1,1,8,2018-02-22,B00OVJCPS6,84
85,yes,works well,5,1,0,2020-03-06,B00OVJCPS6,85
86,Great,Absolutely perfect great customer service,5,1,0,2018-07-17,B00OVJCPS6,86
87,It works. It works.,It works. Stopped the emi from my smart meter. Thank you.,5,1,0,2019-12-11,B00OVJCPS6,87
88,Guard,#NAME?,5,1,0,2020-03-04,B00OVJCPS6,88
89,Quality Product,"Built well, does the job! Happy with my purchase!",5,1,0,2018-12-20,B00OVJCPS6,89
90,Smart Meter Guard,"Customer service is very good; however, the guard did not lower the radiation enough. My HF35C meter from Germany showed readings above 199.9 (I did not measure on the higher setting to see if it was even higher). After reviewing the manual, I saw that two European organizations said that 1 should be the highest (limiting) value, so I still do not feel comfortable sleeping in this area. I am trying other methods. Karl, from the company, recommended putting an aluminum window screen behind the bed, so I am going to try that.",3,1,36,2015-05-29,B00OVJCPS6,90
91,I feel this works. I haven't had the meter <U+0085>,I feel this works. I haven't had the meter reader out there to test yet. It fits very snuggly and we secured to the meter. Others have said problems in high wind areas. In Wyoming we are known for huge wind and I have seen no problem at all. That being said I am a savvy shopper and think the price on this is outrageous. Only because for the moment they have cornered the market. Worth maybe a third the price. Karma!,4,1,9,2016-11-15,B00OVJCPS6,91
92,ig,"expensive, sure hope it helps. it is worth the money to stop the effects of smart meters.",5,1,3,2017-12-03,B00OVJCPS6,92
93,Easy to install; working as designed,"The Smart Meter Shield Cover is slightly larger than the smart meter and easily fits over it. There is a stainless steel band around the circumference of the cover closest to where the meter attaches to the meter box with a screw that can be tightened to hold, by pressure, the cover securely to the meter. Provision is made in this band to accommodate a meter lock or seal. While the mesh cover does somewhat obstruct the view of the digital numbers on the meter, they are still visible..... similar to the Faraday cage in your microwave oven. The utility company reads the meter remotely by the signals emitted from it.

For those that are interested, the manufacturer has a video which measures the reduction of the microwave emitted signals.",5,1,11,2016-05-24,B00OVJCPS6,93
94,Happy with purchase . . .,Fits on smart meter with no issues. No problems with it after owning and using for several months.,5,1,4,2016-02-19,B00OVJCPS6,94
95,The best.,Best product I have ever bought!! It should get 25 stars!!!,5,1,4,2017-07-03,B00OVJCPS6,95
96,Glad I Bought It,"After reading a number of books on the harmful effects of electromagnetic fields, especially radio, microwave frequencies, all of which recommend this product, I decided to purchase one for my smart meter. The wire mesh guard acts as a Faraday cage, reflecting radio waves and sending them back to the electric company. It lets just enough radio waves through to give them a meter reading. I also purchased a Faraday cage from these people for my WiFi router. The guy who makes these is an electrician. His video testing the strength of the RF frequency with and without the guard is a must see. It made me decide to buy the product. Go to the Smart Meter Guard website to find it. The best book on the subject is ""Overpowered,"" by Dr. Martin Blank, PhD. ""Dirty Electricity,"" by Samuel Milham, MD is also good.",5,1,63,2015-04-26,B00OVJCPS6,96
97,"
A must for everyone with a smart meter!","A must for everyone with a smart meter!! This product has dramatically reduced our exposure to the harmful radiation. We happen to have three attached to our apartment!! They profoundly affected our health and well being in drastically detrimental ways.

Even if you don't notice or suffer from the ill effects of being bombarded by high levels of electromagnetic radiation, such as I did, it is still affecting you and everyone you love.

We must advocate for ourselves, inform ourselves and protect ourselves from such technologies as smart meters. Their ill effects on own own natural biofield is well documented. I encourage everyone to get informed.

These guards work!!",5,1,12,2016-09-27,B00OVJCPS6,97
98,Good,Good,5,1,2,2017-01-11,B00OVJCPS6,98
99,It's a great shield but the price could be less Should also <U+0085>,"It's a great shield but the price could be less
Should also include attachable magnets
Somebody is kachiinging radio frequency pollution",2,1,13,2016-02-13,B00OVJCPS6,99
100,Five Stars,Immediate EMF improvements.,5,1,3,2017-08-06,B00OVJCPS6,100
101,... product to help protect from radiation waves from the smart meter.,Thank you for this product to help protect from radiation waves from the smart meter.,5,1,0,2015-03-18,B00OVJCPS6,101
102,hope it works!,a snap to install,4,1,3,2016-01-13,B00OVJCPS6,102
103,Five Dtars,Excellent product can finally sleep again,5,1,2,2018-03-25,B00OVJCPS6,103
104,TOO PRICY! Can be made with own materials.,"TOO PRICY!
Can be made with own materials.",3,1,6,2017-04-11,B00OVJCPS6,104
105,Five Stars,performed as advertised,5,1,0,2016-04-26,B00OVJCPS6,105
106,"Well constructed, easy install, fast delivery","Very well constructed. Easy to install. Instructions were very good, addressing the many different types of meters out there.
Package arrived very quickly. Very pleased.",5,1,4,2016-11-30,B00OVJCPS6,106
107,Four stars,"Meets my expectations appearance wise, however not sure if it worked as advertised.",4,1,0,2016-07-25,B00OVJCPS6,107
108,Five stars,"Excellent quality, now I feel safe.",5,1,0,2015-05-18,B00OVJCPS6,108
109,Everyone needs one,Worked great--tested rf before and after & saw dramatic decrease inside our house. Husband and I sleep much better at night. Also bought the wifi router shield aM's have been pleased with that too.,5,1,10,2016-08-21,B00OVJCPS6,109
110,very easy to place,"fits, very easy to place , looks good",5,1,1,2015-03-11,B00OVJCPS6,110
111,"Watch ""Take Back Your Power!""","Ordered this. It would have probably been fine to use, but we decided to just call and opt-out of the smart meter. I hate having to pay extra for the opt-out but would rather not deal with the risk of brain cancer, or other side effects, and also the fear of that which is mentioned in ""Take Back Your Power"" youtube video.",5,1,22,2015-09-30,B00OVJCPS6,111
112,One Star,Did not block or reduce smart meter interference with ISP radio signal.,1,1,11,2017-08-01,B00OVJCPS6,112
113,Easy to Install and I Do Feel a Difference,"The installation instructions were extremely easy, even when I had to modify mine slightly to get it to fit. My only complaint is that there was no receipt of purchase in the box. At any rate, however, I am sleeping in the room that's closest to my smart meter with no more ache, pains, and headaches. I am also actually waking up feeling refreshed, instead of beaten up, tired, and needing slill more sleep.",5,1,7,2016-06-02,B00OVJCPS6,113
114,Sounds good but there will be ramifications and you will pay to fix the problem.. Ready below..,"Just a heads up that the ""point of demarcation"" for the electric utility, phone company and cable company is a box on the side of your house which you agreed that they could put there to provide you the service they provide. An electric meter does emit radio waves however it is only listening 99.999999999% of the time each month for the meter reader to come by your house and send it a wake up signal so that it will respond with your current meter reading. When the electric company finds you have put a Faraday cage around ""THEIR METER"" which is mounted in ""THEIR METER BASE"", you will find it gets removed from your house, and you will get a nasty letter from them telling you not to mess with their property... And they will be right. You will then get a bill for all the power you used that you didn't get billed for plus any late payment charges and probably a bill for the meter department employee who had to come out and take the thing off ""THEIR"" meter. This is about a dumb as pouring concete into your water meter hole in the front yard. You are not under any more danger from RF radiation coming out of your electric meter than you are from the WIFI we all use at home to get on the Internet. PS... The power company will not be happy so if you have one of these you better take it off and you may avoid the nasty letter, the late fees and other issues you will face for putting it on ""THEIR METER"" to start with...",1,1,10,2019-12-11,B00OVJCPS6,114
115,Really works,Love this item!!!!!,5,1,0,2017-04-14,B00OVJCPS6,115
116,Five Stars,Thanks,5,1,0,2015-04-18,B00OVJCPS6,116
117,It works,It works,5,1,0,2016-12-15,B00OVJCPS6,117
118,Great product!,Work as advertised. Great product!,5,1,0,2016-02-13,B00OVJCPS6,118
119,One Star,Total waste of money,1,1,6,2018-04-01,B00OVJCPS6,119
120,great quality and amazing customer service,The guard was exactly as described and we were very pleased with the quality. The company has amazing customer service and was incredibly helpful! Doing business with them has been a pleasure. Thank you Smart Meter Guard!,5,1,3,2015-08-11,B00OVJCPS6,120
121,Five Stars,If it is doing the job then its worth the price!,5,1,0,2017-07-09,B00OVJCPS6,121
